"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\package-lock.json", "JSON", 0, 3568, 0, 1, 3569
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\package.json", "JSON", 0, 36, 0, 1, 37
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\account\login.js", "JavaScript", 31, 0, 0, 3, 34
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\account\profile.js", "JavaScript", 49, 0, 3, 4, 56
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\account\set.js", "JavaScript", 24, 0, 1, 3, 28
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\animals\bird.js", "JavaScript", 10, 0, 0, 3, 13
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\animals\cat.js", "JavaScript", 9, 0, 0, 1, 10
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\animals\dog.js", "JavaScript", 9, 0, 0, 1, 10
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\animals\fox.js", "JavaScript", 10, 0, 0, 1, 11
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\anime\anifact.js", "JavaScript", 9, 0, 0, 2, 11
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\anime\anix.js", "JavaScript", 103, 0, 8, 13, 124
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\emote\confuse.js", "JavaScript", 11, 0, 0, 2, 13
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\emote\hug.js", "JavaScript", 11, 0, 0, 2, 13
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\emote\kiss.js", "JavaScript", 11, 0, 0, 3, 14
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\emote\pet.js", "JavaScript", 11, 0, 0, 2, 13
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\emote\punch.js", "JavaScript", 11, 0, 0, 2, 13
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\fun\advice.js", "JavaScript", 10, 0, 0, 2, 12
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\fun\billy.js", "JavaScript", 9, 0, 0, 2, 11
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\fun\joke.js", "JavaScript", 10, 0, 0, 2, 12
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\fun\meme.js", "JavaScript", 11, 0, 0, 2, 13
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\fun\pickupline.js", "JavaScript", 10, 0, 0, 2, 12
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\fun\quotes.js", "JavaScript", 11, 0, 0, 3, 14
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\genshin\xylo.js", "JavaScript", 71, 0, 0, 4, 75
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\command\help\help.js", "JavaScript", 46, 0, 1, 11, 58
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\function\api\animal.js", "JavaScript", 54, 0, 0, 16, 70
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\function\api\anix\anix.js", "JavaScript", 45, 0, 6, 8, 59
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\function\api\anix\handler.js", "JavaScript", 55, 0, 0, 7, 62
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\function\api\general.js", "JavaScript", 74, 0, 1, 13, 88
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\function\api\genshin\api.js", "JavaScript", 31, 0, 3, 8, 42
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\function\handler.js", "JavaScript", 67, 0, 0, 15, 82
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\index.js", "JavaScript", 103, 0, 22, 36, 161
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\model\login.js", "JavaScript", 34, 0, 0, 4, 38
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\utils\level.js", "JavaScript", 13, 0, 1, 4, 18
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\validators\account.js", "JavaScript", 22, 0, 2, 10, 34
"c:\Users\9fang\desktop\program\coding\discord\kryo\kryo-bot\src\validators\gender.js", "JavaScript", 27, 0, 3, 3, 33
"Total", "-", 1012, 3604, 51, 196, 4863
